Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-01 00:00:00+05:30,4.600218872343196,4.868377729484896,4.502604471296495,4.541874408721924,865797287,0.0,0.0
1996-01-08 00:00:00+05:30,4.532898502044216,4.53626415406397,4.078486328270465,4.209761142730713,1636681105,0.0,0.0
1996-01-15 00:00:00+05:30,4.197420056334483,4.218738156451848,3.802474611647042,3.828280448913574,1418897163,0.0,0.0
1996-01-22 00:00:00+05:30,3.8406217711571293,3.943845992348073,3.42772398728771,3.4490420818328857,1405574771,0.0,0.0
1996-01-29 00:00:00+05:30,3.4333345620138216,4.622660186187134,3.412017060324378,4.573291778564453,3905547781,0.0,0.0
1996-02-05 00:00:00+05:30,4.824619544029318,5.430501672208622,4.242299079029903,5.318301677703857,5176334332,0.0,0.0
1996-02-12 00:00:00+05:30,5.183661217967445,5.496699838800411,4.894183960672443,5.111852645874023,3807876841,0.0,0.0
1996-02-19 00:00:00+05:30,5.206101640723792,5.277910220316263,4.824620060148375,5.093901634216309,2317016627,0.0,0.0
1996-02-26 00:00:00+05:30,5.150000089036329,5.25659085480113,4.679880853690153,4.780860900878906,2936348947,0.0,0.0
1996-03-04 00:00:00+05:30,4.802180156195062,5.054631384215399,4.676515734059048,4.9177470207214355,2718500585,0.0,0.0
1996-03-11 00:00:00+05:30,4.84706064172611,5.340742899525158,4.827987009495034,4.930089473724365,3231874156,0.0,0.0
1996-03-18 00:00:00+05:30,4.879597738853392,4.891939461718954,4.319717489059684,4.540752410888672,3049896684,0.0,0.0
1996-03-25 00:00:00+05:30,4.599095682910873,4.729247786749626,4.342156527140699,4.641731262207031,2052144262,0.0,0.0
1996-04-01 00:00:00+05:30,4.661929042910229,4.856036375327487,4.622659102498424,4.681003570556641,1153807733,0.0,0.0
1996-04-08 00:00:00+05:30,4.740468535637811,4.880719107083451,4.686612714206731,4.842571258544922,1390989180,0.0,0.0
1996-04-15 00:00:00+05:30,4.936819864323915,5.6212427714981965,4.926722008622032,5.510164260864258,2619726097,0.0,0.0
