Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1993-01-25 00:00:00-05:00,24.258646884988757,24.258646884988757,24.1379570994913,24.241405487060547,1003200,0.0,0.0,0.0
1993-02-01 00:00:00-05:00,24.258650399977505,24.879340815328742,24.258650399977505,24.810375213623047,2234800,0.0,0.0,0.0
1993-02-08 00:00:00-05:00,24.810368505155783,24.89657548397842,24.56898896445239,24.603471755981445,1159800,0.0,0.0,0.0
1993-02-15 00:00:00-05:00,24.534490748149594,24.534490748149594,23.620697347129262,24.03449058532715,998700,0.0,0.0,0.0
1993-02-22 00:00:00-05:00,24.103468917105754,24.517262374910146,23.982779158579476,24.50002098083496,1024300,0.0,0.0,0.0
1993-03-01 00:00:00-05:00,24.586248813394725,24.931076987495633,24.396593317639226,24.689697265625,658500,0.0,0.0,0.0
1993-03-08 00:00:00-05:00,24.741411817131652,25.293136679952706,24.724170415168494,24.879343032836914,1129000,0.0,0.0,0.0
1993-03-15 00:00:00-05:00,24.862093844072923,25.103473395957128,24.81036965438345,24.844852447509766,489600,0.213,0.0,0.0
1993-03-22 00:00:00-05:00,24.719677892590695,25.083457314976403,24.70235506295328,24.892906188964844,487400,0.0,0.0,0.0
1993-03-29 00:00:00-05:00,24.910217247306665,25.204705211982752,24.44250106811523,24.442501068115234,443600,0.0,0.0,0.0
1993-04-05 00:00:00-04:00,24.633056153355977,24.68502462625335,24.425182261766473,24.54644203186035,510700,0.0,0.0,0.0
1993-04-12 00:00:00-04:00,24.788974617386394,25.031494285201497,24.754328950555667,24.910234451293945,810700,0.0,0.0,0.0
1993-04-19 00:00:00-04:00,24.91023413794381,24.97952547073364,24.217320810045514,24.25196647644043,708100,0.0,0.0,0.0
1993-04-26 00:00:00-04:00,24.269282895339305,24.54644815324468,23.99211763743393,24.407865524291992,478800,0.0,0.0,0.0
1993-05-03 00:00:00-04:00,24.442517797404232,24.806297296869495,24.338580797557015,24.581100463867188,461300,0.0,0.0,0.0
1993-05-10 00:00:00-04:00,24.615733983841807,24.771639406681057,24.37321443720297,24.39053726196289,380100,0.0,0.0,0.0
1993-05-17 00:00:00-04:00,24.459846278142663,25.083468421211457,24.303940742375467,24.806303024291992,509000,0.0,0.0,0.0
1993-05-24 00:00:00-04:00,24.858259551675054,25.3086531045277,24.858259551675054,25.066133499145508,457600,0.0,0.0,0.0
1993-05-31 00:00:00-04:00,25.152737508896223,25.395257016557757,24.996832111113807,25.10076904296875,102200,0.0,0.0,0.0
1993-06-07 00:00:00-04:00,25.152750725062127,25.152750725062127,24.78897127242693,24.996845245361328,934500,0.0,0.0,0.0
1993-06-14 00:00:00-04:00,25.03149070766535,25.048813538604907,24.66771125793457,24.66771125793457,633400,0.318,0.0,0.0
1993-06-21 00:00:00-04:00,24.91231044388616,25.069320803826617,24.68551770174994,24.99953842163086,682900,0.0,0.0,0.0
1993-06-28 00:00:00-04:00,25.121662486683242,25.278672877225013,24.859978502446957,24.947206497192383,1976100,0.0,0.0,0.0
1993-07-05 00:00:00-04:00,24.912315935952698,25.10421752929687,24.650631945028827,25.104217529296875,1216500,0.0,0.0,0.0
1993-07-12 00:00:00-04:00,25.06933901829427,25.22634949231281,24.929774152500006,24.98211097717285,2040800,0.0,0.0,0.0
1993-07-19 00:00:00-04:00,24.982090980001967,25.0344277627813,24.825080631663965,24.964645385742188,1318000,0.0,0.0,0.0
